dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.003494,24.080000,0.003704,0.148148,2.962963,59.259259,6.283147
0.050000,0.014740,24.079999,0.014949,0.224912,1.535269,-28.553876,6.283022
0.050000,0.033482,24.079994,0.033691,0.374841,2.998579,29.266200,6.282815
0.050000,0.059719,24.079980,0.059929,0.524751,2.998216,-0.007266,6.282527
0.050000,0.093451,24.079952,0.093661,0.674637,2.997707,-0.010170,6.282158
0.050000,0.134676,24.079900,0.134885,0.824489,2.997054,-0.013072,6.281710
0.050000,0.183391,24.079816,0.183600,0.974302,2.996255,-0.015971,6.281185
0.050000,0.239594,24.079686,0.239804,1.124068,2.995312,-0.018866,6.280585
0.050000,0.303283,24.079499,0.303493,1.273779,2.994224,-0.021757,6.279913
0.050000,0.374454,24.079240,0.374664,1.423429,2.992992,-0.024643,6.279171
0.050000,0.453103,24.078892,0.453315,1.573009,2.991616,-0.027523,6.278363
0.050000,0.539228,24.078439,0.539440,1.722514,2.990096,-0.030396,6.277492
0.050000,0.632823,24.077863,0.633037,1.871936,2.988433,-0.033263,6.276562
0.050000,0.733884,24.077143,0.734100,2.021267,2.986627,-0.036121,6.275578
0.050000,0.842405,24.076261,0.842625,2.170501,2.984678,-0.038971,6.274543
0.050000,0.958382,24.075196,0.958607,2.319630,2.982588,-0.041811,6.273462
0.050000,1.081808,24.073927,1.082039,2.468648,2.980356,-0.044642,6.272342
0.050000,1.212676,24.072432,1.212917,2.617547,2.977983,-0.047462,6.271187
0.050000,1.350982,24.070690,1.351233,2.766321,2.975469,-0.050272,6.270002
0.050000,1.496716,24.068680,1.496981,2.914962,2.972815,-0.053071,6.268795
0.050000,1.649872,24.066381,1.650154,3.063463,2.970022,-0.055860,6.267572
0.050000,1.810441,24.063775,1.810745,3.211817,2.967091,-0.058638,6.266339
0.050000,1.978417,24.060840,1.978746,3.360018,2.964020,-0.061406,6.265103
0.050000,2.153789,24.057560,2.154149,3.508059,2.960812,-0.064165,6.263873
0.050000,2.336549,24.053917,2.336945,3.655932,2.957466,-0.066916,6.262655
0.050000,2.526688,24.049898,2.527127,3.803631,2.953983,-0.069661,6.261458
0.050000,2.724197,24.045490,2.724684,3.951149,2.950363,-0.072401,6.260291
0.050000,2.925340,24.040771,2.925883,4.023978,1.456572,-29.875830,6.259180
0.050000,3.126392,24.035839,3.126995,4.022242,-0.034715,-29.825736,6.258151
0.050000,3.327352,24.030710,3.328021,4.020508,-0.034682,0.000657,6.257201
0.050000,3.528220,24.025401,3.528960,4.018776,-0.034652,0.000616,6.256332
0.050000,3.728998,24.019927,3.729812,4.017044,-0.034623,0.000572,6.255543
0.050000,3.929685,24.014306,3.930578,4.015315,-0.034597,0.000527,6.254834
0.050000,4.130282,24.008553,4.131257,4.013586,-0.034573,0.000479,6.254205
0.050000,4.330789,24.002684,4.331850,4.011858,-0.034551,0.000429,6.253656
0.050000,4.531207,23.996715,4.532356,4.010132,-0.034532,0.000378,6.253187
0.050000,4.731536,23.990664,4.732777,4.008406,-0.034516,0.000325,6.252798
0.050000,4.931776,23.984545,4.933111,4.006681,-0.034503,0.000271,6.252488
0.050000,5.131929,23.978374,5.133358,4.004956,-0.034492,0.000217,6.252259
0.050000,5.331994,23.972169,5.333520,4.003232,-0.034484,0.000161,6.252109
0.050000,5.531973,23.965944,5.533595,4.001508,-0.034478,0.000105,6.252039
0.050000,5.731865,23.959716,5.733585,3.999784,-0.034476,0.000049,6.252049
0.050000,5.931671,23.953500,5.933488,3.998061,-0.034476,-0.000008,6.252139
0.050000,6.131392,23.947313,6.133305,3.996337,-0.034480,-0.000065,6.252309
0.050000,6.331028,23.941171,6.333035,3.994612,-0.034486,-0.000121,6.252558
0.050000,6.530580,23.935089,6.532680,3.992888,-0.034494,-0.000177,6.252888
0.050000,6.730048,23.929083,6.732238,3.991162,-0.034506,-0.000232,6.253297
0.050000,6.929432,23.923169,6.931709,3.989436,-0.034520,-0.000287,6.253786
0.050000,7.128733,23.917364,7.131095,3.987709,-0.034537,-0.000340,6.254355
0.050000,7.327951,23.911682,7.330394,3.985982,-0.034557,-0.000393,6.255004
0.050000,7.527087,23.906140,7.529607,3.984253,-0.034579,-0.000443,6.255733
0.050000,7.726140,23.900753,7.728733,3.982522,-0.034604,-0.000493,6.256542
0.050000,7.925111,23.895538,7.927772,3.980791,-0.034631,-0.000540,6.257431
0.050000,8.124000,23.890510,8.126725,3.979058,-0.034660,-0.000585,6.258401
0.050000,8.322808,23.885684,8.325591,3.977323,-0.034692,-0.000628,6.259451
0.050000,8.521534,23.881078,8.524371,3.975587,-0.034725,-0.000669,6.260581
0.050000,8.720178,23.876706,8.723063,3.973849,-0.034760,-0.000707,6.261792
0.050000,8.918741,23.872584,8.921669,3.972109,-0.034797,-0.000742,6.263083
0.050000,9.117222,23.868728,9.120187,3.970367,-0.034836,-0.000774,6.264455
0.050000,9.315621,23.865155,9.318618,3.968623,-0.034876,-0.000802,6.265907
0.050000,9.513938,23.861879,9.516962,3.966878,-0.034918,-0.000827,6.267441
0.050000,9.712172,23.858916,9.715219,3.965130,-0.034960,-0.000849,6.269055
0.050000,9.910324,23.856282,9.913387,3.963379,-0.035003,-0.000866,6.270750
0.050000,10.108392,23.853994,10.111469,3.961627,-0.035047,-0.000879,6.272527
0.050000,10.306376,23.852066,10.309462,3.959872,-0.035092,-0.000887,6.274385
0.050000,10.504276,23.850515,10.507368,3.958116,-0.035136,-0.000891,6.276324
0.050000,10.702090,23.849356,10.705186,3.956357,-0.035181,-0.000889,6.278344
0.050000,10.899818,23.848605,10.902916,3.954595,-0.035225,-0.000882,6.280446
0.050000,11.097460,23.848278,11.100557,3.952832,-0.035268,-0.000870,6.282630
0.050000,11.295013,23.848391,11.298111,3.951066,-0.035311,-0.000852,0.001710
0.050000,11.492477,23.848959,11.495576,3.949299,-0.035352,-0.000828,0.004057
0.050000,11.689851,23.849998,11.692952,3.947529,-0.035392,-0.000798,0.006486
0.050000,11.887133,23.851524,11.890240,3.945758,-0.035430,-0.000761,0.008998
0.050000,12.084322,23.853553,12.087439,3.943984,-0.035466,-0.000718,0.011591
0.050000,12.281416,23.856100,12.284550,3.942209,-0.035499,-0.000667,0.014266
0.050000,12.478413,23.859181,12.481571,3.940433,-0.035530,-0.000609,0.017024
0.050000,12.675312,23.862811,12.678504,3.938655,-0.035557,-0.000544,0.019864
0.050000,12.872112,23.867007,12.875348,3.936876,-0.035581,-0.000470,0.022786
0.050000,13.068808,23.871784,13.072103,3.935096,-0.035600,-0.000389,0.025791
0.050000,13.265401,23.877158,13.268769,3.933315,-0.035615,-0.000300,0.028878
0.050000,13.461886,23.883144,13.465345,3.931534,-0.035625,-0.000201,0.032048
