dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.003411,21.920000,0.003704,0.148148,2.962963,59.259259,6.283147
0.050000,0.014387,21.919999,0.014680,0.219533,1.427694,-30.705384,6.283022
0.050000,0.032682,21.919994,0.032975,0.365900,2.927347,29.993059,6.282815
0.050000,0.058297,21.919981,0.058590,0.512286,2.927710,0.007266,6.282527
0.050000,0.091231,21.919953,0.091524,0.658697,2.928218,0.010169,6.282158
0.050000,0.131488,21.919903,0.131781,0.805140,2.928872,0.013071,6.281710
0.050000,0.179069,21.919820,0.179363,0.951624,2.929670,0.015970,6.281185
0.050000,0.233977,21.919694,0.234270,1.098154,2.930614,0.018865,6.280585
0.050000,0.296214,21.919511,0.296507,1.244739,2.931702,0.021756,6.279913
0.050000,0.365783,21.919257,0.366077,1.391386,2.932934,0.024642,6.279171
0.050000,0.442687,21.918917,0.442982,1.538102,2.934310,0.027522,6.278363
0.050000,0.526930,21.918474,0.527226,1.684893,2.935829,0.030395,6.277492
0.050000,0.618517,21.917910,0.618815,1.831768,2.937493,0.033261,6.276562
0.050000,0.717451,21.917206,0.717751,1.978733,2.939299,0.036120,6.275578
0.050000,0.823737,21.916342,0.824041,2.125795,2.941247,0.038970,6.274543
0.050000,0.937381,21.915298,0.937689,2.272962,2.943338,0.041811,6.273462
0.050000,1.058386,21.914054,1.058701,2.420240,2.945570,0.044641,6.272342
0.050000,1.186760,21.912587,1.187083,2.567638,2.947943,0.047462,6.271187
0.050000,1.322507,21.910877,1.322841,2.715160,2.950456,0.050272,6.270002
0.050000,1.465634,21.908903,1.465982,2.862816,2.953110,0.053072,6.268795
0.050000,1.616148,21.906645,1.616513,3.010611,2.955903,0.055861,6.267572
0.050000,1.774055,21.904081,1.774440,3.158553,2.958835,0.058639,6.266339
0.050000,1.939362,21.901193,1.939773,3.306648,2.961905,0.061408,6.265103
0.050000,2.112077,21.897962,2.112518,3.454904,2.965114,0.064167,6.263873
0.050000,2.292207,21.894373,2.292684,3.603327,2.968460,0.066919,6.262655
0.050000,2.479762,21.890408,2.480280,3.751924,2.971943,0.069664,6.261458
0.050000,2.674748,21.886056,2.675315,3.900702,2.975563,0.072404,6.260291
0.050000,2.873495,21.881393,2.874116,3.976022,1.506392,-29.383417,6.259180
0.050000,3.072323,21.876515,3.073004,3.977757,0.034716,-29.433514,6.258151
0.050000,3.271232,21.871439,3.271979,3.979492,0.034683,-0.000659,6.257201
0.050000,3.470224,21.866179,3.471040,3.981224,0.034653,-0.000618,6.256332
0.050000,3.669298,21.860752,3.670188,3.982955,0.034624,-0.000574,6.255543
0.050000,3.868454,21.855174,3.869422,3.984685,0.034597,-0.000528,6.254834
0.050000,4.067693,21.849459,4.068743,3.986414,0.034573,-0.000480,6.254205
0.050000,4.267015,21.843625,4.268150,3.988142,0.034552,-0.000431,6.253656
0.050000,4.466420,21.837687,4.467643,3.989868,0.034533,-0.000380,6.253187
0.050000,4.665908,21.831661,4.667223,3.991594,0.034517,-0.000327,6.252798
0.050000,4.865481,21.825562,4.866889,3.993319,0.034503,-0.000273,6.252488
0.050000,5.065138,21.819407,5.066641,3.995044,0.034492,-0.000218,6.252259
0.050000,5.264881,21.813212,5.266480,3.996768,0.034484,-0.000163,6.252109
0.050000,5.464709,21.806991,5.466404,3.998492,0.034478,-0.000107,6.252039
0.050000,5.664622,21.800763,5.666415,4.000216,0.034476,-0.000050,6.252049
0.050000,5.864623,21.794541,5.866512,4.001939,0.034476,0.000006,6.252139
0.050000,6.064710,21.788343,6.066695,4.003663,0.034479,0.000063,6.252309
0.050000,6.264884,21.782184,6.266964,4.005388,0.034485,0.000119,6.252558
0.050000,6.465147,21.776080,6.467320,4.007112,0.034494,0.000175,6.252888
0.050000,6.665498,21.770048,6.667762,4.008838,0.034506,0.000230,6.253297
0.050000,6.865938,21.764103,6.868290,4.010564,0.034520,0.000285,6.253786
0.050000,7.066468,21.758261,7.068905,4.012291,0.034537,0.000339,6.254355
0.050000,7.267087,21.752540,7.269606,4.014018,0.034556,0.000391,6.255004
